NO.;KODE CABANG; PENGELOLA;KODE ATM;Lokasi ATM
1;SLA;SENTRA LAYANAN ATM;0136;ATM INDOMARET POINT
2;SLA;SENTRA LAYANAN ATM;0137;ATM ALFAMART EXPRESS
3;SLA;SENTRA LAYANAN ATM;0138;ATM MANTOS SATU
4;SLA;SENTRA LAYANAN ATM;0139;ATM KANTOR GUBERNUR SULUT II
5;SLA;SENTRA LAYANAN ATM;0144;ATM SLA SUDIRMAN
6;SLA;SENTRA LAYANAN ATM;0146;ATM MARKOBAR TIKALA
7;SLA;SENTRA LAYANAN ATM;0147;ATM DINAS PENANAMAN MODAL
8;SLA;SENTRA LAYANAN ATM;0153;ATM JUMBO PASAR SWALAYAN
9;SLA;SENTRA LAYANAN ATM;0154;ATM PLN SARIO
10;SLA;SENTRA LAYANAN ATM;0156;ATM RS MATA PROV SULUT
11;SLA;SENTRA LAYANAN ATM;0159;ATM SLA SUZUKI MALALAYANG
12;SLA;SENTRA LAYANAN ATM;0160;ATM SLA JALAN SEA
13;SLA;SENTRA LAYANAN ATM;0161;ATM SLA PROF KANDOU
14;SLA;SENTRA LAYANAN ATM;0163;ATM SLA INDO HYBRID KALASEY
15;SLA;SENTRA LAYANAN ATM;0164;ATM IT CENTER SLA
16;SLA;SENTRA LAYANAN ATM;0165;APOTIK SETIA 2 SLA
17;SLA;SENTRA LAYANAN ATM;0166;ATM RSU PANCARAN KASIH SLA
18;SLA;SENTRA LAYANAN ATM;0167;RUMAH SAKIT TELING SLA
19;SLA;SENTRA LAYANAN ATM;0168;ATM ALFAMIDI MARTADINATA SLA
20;SLA;SENTRA LAYANAN ATM;0169;ATM SLA SPBU RING ROAD
21;SLA;SENTRA LAYANAN ATM;0170;ATM SLA DPRD SULUT
22;SLA;SENTRA LAYANAN ATM;0171;ATM SLA MULTI BANJER
23;SLA;SENTRA LAYANAN ATM;0172;ATM SLA PERKAMIL JAYA
24;SLA;SENTRA LAYANAN ATM;0173;ATM SLA KEMBES
25;SLA;SENTRA LAYANAN ATM;0174;ATM SLA NARWASTU
26;SLA;SENTRA LAYANAN ATM;0175;ATM SLA CITRALAND
27;SLA;SENTRA LAYANAN ATM;0176;ATM SLA MULTIMART RANOTANA
28;SLA;SENTRA LAYANAN ATM;0177;ATM SLA RUKO WINANGUN
29;SLA;SENTRA LAYANAN ATM;0178;ATM SLA BETHESDA
30;SLA;SENTRA LAYANAN ATM;0179;ATM SLA TELING TOLOLIU
31;SLA;SENTRA LAYANAN ATM;0180;ATM SLA INDOMARET ST YOSEPH
32;SLA;SENTRA LAYANAN ATM;0181;ATM SLA INDOMARET PINELENG
33;SLA;SENTRA LAYANAN ATM;0182;ATM SLA INDOMARET WINANGUN
34;SLA;SENTRA LAYANAN ATM;0183;ATM SPBU MAPANGET SLA
35;SLA;SENTRA LAYANAN ATM;0184;ATM SLA INDOMARET POLI 2
36;SLA;SENTRA LAYANAN ATM;0185;ATM SLA BAN HING KIONG CALACA
37;SLA;SENTRA LAYANAN ATM;0186;ATM SLA SIMPLE MART
38;SLA;SENTRA LAYANAN ATM;0187;ATM SLA PELABUHAN MANADO
39;SLA;SENTRA LAYANAN ATM;0188;ATM SLA FRESH MART PANIKI
40;SLA;SENTRA LAYANAN ATM;0189;ATM SLA WORI
41;SLA;SENTRA LAYANAN ATM;0190;ATM SLA INDOMARET PANDU
42;SLA;SENTRA LAYANAN ATM;0191;ATM SLA INDOMARET SINDULANG
43;SLA;SENTRA LAYANAN ATM;0192;ATM SLA MULTI WONASA KOMBOS
44;SLA;SENTRA LAYANAN ATM;0193;ATM SLA POGIDON TUMINTING
45;SLA;SENTRA LAYANAN ATM;0196;ATM ALFAMIDI BORGO TANAWANGKO
46;001 ;001 CABANG UTAMA;0126;MOBIL KELILING CAB UTAMA
47;001 ;001 CABANG UTAMA;0135;ATM RS ODSK
48;001 ;001 CABANG UTAMA;0141;ATM KK MANTOS 2
49;001 ;001 CABANG UTAMA;0143;ATM CABANG UTAMA KP 3
50;001 ;001 CABANG UTAMA;0145;ATM SAMSAT MANADO
51;001 ;001 CABANG UTAMA;0148;ATM KK GUBERNUR SULUT
52;001 ;001 CABANG UTAMA;0149;ATM KANTOR KAS MARINA
53;001 ;001 CABANG UTAMA;0151;ATM CABANG UTAMA KP2
54;001 ;001 CABANG UTAMA;0152;ATM CABANG UTAMA KP1
55;001 ;001 CABANG UTAMA;0155;ATM MANTOS 2
56;001 ;001 CABANG UTAMA;0157;CRM GALERY KANTOR PUSAT
57;001 ;001 CABANG UTAMA;0158;CRM MANTOS 3
58;001 ;001 CABANG UTAMA;0194;CRM GALERI KP
59;001 ;001 CABANG UTAMA;0195;ATM GALERI KP
60;002 ;002 CABANG KOTAMOBAGU;0201;KANTOR KAS KARTINI
61;002 ;002 CABANG KOTAMOBAGU;0202;CABANG KOTAMOBAGU
62;002 ;002 CABANG KOTAMOBAGU;0204;KANTOR WALIKOTA KOTAMOBAGU
63;002 ;002 CABANG KOTAMOBAGU;0205;PARIS KOTAMOBAGU
64;002 ;002 CABANG KOTAMOBAGU;0206;KK KOTAMOBAGU TIMUR
65;002 ;002 CABANG KOTAMOBAGU;0207;KK  KOTAMOBAGU SELATAN
66;002 ;002 CABANG KOTAMOBAGU;0208;ATM MOGOLAING
67;002 ;002 CABANG KOTAMOBAGU;0209;ATM RSU POBUNDAYAN KOTAMOBAGU
68;002 ;002 CABANG KOTAMOBAGU;0210;ATM KANTOR CABANG KOTA 2
69;002 ;002 CABANG KOTAMOBAGU;0211;ATM INDOMARET POYOWA BESAR
70;003 ;003 CABANG GORONTALO;0301;CABANG GORONTALO
71;003 ;003 CABANG GORONTALO;0304;RSUD ALOEI SABOE GORONTALO
72;003 ;003 CABANG GORONTALO;0305;ATM MALL KARSA GORONTALO
73;003 ;003 CABANG GORONTALO;0306;KANTOR WALIKOTA GORONTALO
74;003 ;003 CABANG GORONTALO;0307;HOTEL MEGA ZANUR GORONTALO
75;003 ;003 CABANG GORONTALO;0308;ATM MALL GORONTALO
76;003 ;003 CABANG GORONTALO;0309;ATM ANDALAS
77;003 ;003 CABANG GORONTALO;0310;SPBU EMDEN
78;003 ;003 CABANG GORONTALO;0311;TOKO MUFIDAH
79;003 ;003 CABANG GORONTALO;0312;ATM KANTOR CABANG GORONTALO 2
80;003 ;003 CABANG GORONTALO;0313;ATM ALFAMART RAJA EYATO
81;003 ;003 CABANG GORONTALO;0314;ATM MUFIDAH2
82;003 ;003 CABANG GORONTALO;0315;ATM DPRD GORONTALO
83;003 ;003 CABANG GORONTALO;0316;ATM RSUD OTANAHA KOTA BARAT GORONTALO
84;003 ;003 CABANG GORONTALO;0317;ATM KANTOR GUBERNUR GORONTALO
85;003 ;003 CABANG GORONTALO;0318;ATM KC GORONTALO III
86;003 ;003 CABANG GORONTALO;0319;ATM INDOMARET AGUS SALIM
87;003 ;003 CABANG GORONTALO;0320;ATM INDOMARET KALIMANTAN
88;003 ;003 CABANG GORONTALO;0321;ATM HYMART (Indomaret Sultan Botutihe 239 TAMALATE)
89;003 ;003 CABANG GORONTALO;0322;ATM Tinaloga (Indomaret) (ex-ATM Bappeda)
90;003 ;003 CABANG GORONTALO;0323;CRM KANTOR CABANG GORONTALO
91;003 ;003 CABANG GORONTALO;0324;ATM DPRD GORONTALO
92;003 ;003 CABANG GORONTALO;0325;ATM TASPEN GORONTALO
93;004 ;004 CABANG TAHUNA;0401;CABANG TAHUNA
94;004 ;004 CABANG TAHUNA;0403;KANTOR KAS PETTA TAHUNA
95;004 ;004 CABANG TAHUNA;0404;KANTOR KAS BUPATI TAHUNA
96;004 ;004 CABANG TAHUNA;0406;MALL PARAGON TAHUNA
97;004 ;004 CABANG TAHUNA;0407;ATM KANTOR CABANG TAHUNA 2
98;004 ;004 CABANG TAHUNA;0408;ATM RSUD LIUN KENDAGE TAHUNA
99;004 ;004 CABANG TAHUNA;0409;ATM TONA II BAPELITBANG
100;004 ;004 CABANG TAHUNA;0410;ATM MANGANITU TAHUNA
101;005 ;005 CABANG BITUNG;0501;KANTOR CABANG BITUNG
102;005 ;005 CABANG BITUNG;0502;KANTOR WALIKOTA BITUNG
103;005 ;005 CABANG BITUNG;0503;GIRIAN CABANG BITUNG
104;005 ;005 CABANG BITUNG;0504;ATM KANTOR DPRD BITUNG
105;005 ;005 CABANG BITUNG;0505;KK PAPUSUNGAN LEMBE
106;005 ;005 CABANG BITUNG;0506;KANTOR CABANG BITUNG 2
107;005 ;005 CABANG BITUNG;0507;ATM GIRIAN WERU
108;005 ;005 CABANG BITUNG;0508;ATM GIRIAN INDAH
109;006 ;006 CABANG KAWANGKOAN;0601;KANTOR CABANG KAWANGKOAN
110;006 ;006 CABANG KAWANGKOAN;0603;KK SONDER
111;006 ;006 CABANG KAWANGKOAN;0604;ATM ALFAMART TOMPASO
112;006 ;006 CABANG KAWANGKOAN;0605;ATM CABANG KAWANGKOAN 2
113;007 ;007 CABANG LIMBOTO;0701;KANTOR CABANG LIMBOTO
114;007 ;007 CABANG LIMBOTO;0703;KANTOR BUPATI GORONTALO
115;007 ;007 CABANG LIMBOTO;0704;ATM MOBIL KELILING CAB.LIMBOTO
116;007 ;007 CABANG LIMBOTO;0705;RS DUNDA
117;007 ;007 CABANG LIMBOTO;0706;ATM BONGOMEME
118;007 ;007 CABANG LIMBOTO;0707;ATM DIKNAS KAB GORONTALO
119;007 ;007 CABANG LIMBOTO;0709;ATM BANDARA GORONTALO
120;007 ;007 CABANG LIMBOTO;0710;ATM CABANG LIMBOTO 2
121;007 ;007 CABANG LIMBOTO;0711;ATM KANTOR KAS ISIMU
122;007 ;007 CABANG LIMBOTO;0712;ATM TELAGA BIRU
123;007 ;007 CABANG LIMBOTO;0713;ATM DPRD KAYUBULAN
124;007 ;007 CABANG LIMBOTO;0714;ATM BATUDAA
125;007 ;007 CABANG LIMBOTO;0715;ATM RS. AINUN HABIBIE
126;007 ;007 CABANG LIMBOTO;0717;ATM ATM ALFAMART TILANGO
127;007 ;007 CABANG LIMBOTO;0718;ATM INDOMARET YOSONEGORO
128;008 ;008 CABANG TONDANO;0802;DINAS INFOKOM SASARAN
129;008 ;008 CABANG TONDANO;0804;KANTOR KAS TATAARAN
130;008 ;008 CABANG TONDANO;0805;KANTOR CABANG TONDANO
131;008 ;008 CABANG TONDANO;0806;ATM KANTOR CABANG TONDANO 2
132;008 ;008 CABANG TONDANO;0807;ALFAMART KAMPUNG JAWA TONDANO
133;008 ;008 CABANG TONDANO;0808;ATM TANDENGAN
134;008 ;008 CABANG TONDANO;0809;ATM REMBOKEN
135;008 ;008 CABANG TONDANO;0810;ATM ATM KANTOR BUPATI MINAHASA
136;008 ;008 CABANG TONDANO;0811;ATM ALFAMART TATAARAN PATAR
137;009 ;009 CABANG TOMOHON;0901;KANTOR CABANG TOMOHON
138;009 ;009 CABANG TOMOHON;0902;KANTOR WALIKOTA TOMOHON
139;009 ;009 CABANG TOMOHON;0903;KANTOR SINODE TOMOHON
140;009 ;009 CABANG TOMOHON;0904;SUPERMARKET COOL TOMOHON
141;009 ;009 CABANG TOMOHON;0905;ATM KANTOR CABANG TOMOHON 2
142;009 ;009 CABANG TOMOHON;0906;ATM GALERY KASKASEN TOMOHON
143;009 ;009 CABANG TOMOHON;0907;ATM PASAR BERIMAN TOMOHON
144;009 ;009 CABANG TOMOHON;0908;ALFAMART WOLOAN
145;010 ;010 CABANG MARISA;1001;KANTOR CABANG MARISA
146;010 ;010 CABANG MARISA;1002;KANTOR BUPATI MARISA
147;010 ;010 CABANG MARISA;1003;PERTOKOAN MARISA
148;010 ;010 CABANG MARISA;1004;ATM KANTOR KAS RSUD MARISA
149;010 ;010 CABANG MARISA;1005;ATM CABANG MARISA 2
150;010 ;010 CABANG MARISA;1006;ATM BUNTULIA POHUWATO
151;010 ;010 CABANG MARISA;1007;ATM INDOMARET AMAI MARISA
152;011 ;011 CABANG CALACA;1118;ATM KANTOR KAS MAPANGET
153;011 ;011 CABANG CALACA;1119;CABANG CALACA
154;011 ;011 CABANG CALACA;1120;KANTOR WALIKOTA MANADO
155;011 ;011 CABANG CALACA;1122;MALL PELAYANAN PUBLIK
156;012 ;012 CABANG AMURANG;1201;KANTOR CABANG AMURANG
157;012 ;012 CABANG AMURANG;1202;KANTOR BUPATI MINSEL
158;012 ;012 CABANG AMURANG;1203;BS TUMPAAN
159;012 ;012 CABANG AMURANG;1204;KK TARERAN
160;012 ;012 CABANG AMURANG;1205;KECAMATAN TENGA
161;012 ;012 CABANG AMURANG;1206;ATM ALFAMART BUYUNGON
162;012 ;012 CABANG AMURANG;1207;ATM KAPITU
163;012 ;012 CABANG AMURANG;1208;ATM CABANG AMURANG II
164;013 ;013 CABANG SIAU;1301;KANTOR CABANG SIAU
165;013 ;013 CABANG SIAU;1302;KANTOR BUPATI SITARO
166;013 ;013 CABANG SIAU;1303;PASAR ONDONG SIAU
167;013 ;013 CABANG SIAU;1304;ATM PASAR ULU
168;013 ;013 CABANG SIAU;1305;ATM KANTOR CABANG SIAU 2
169;013 ;013 CABANG SIAU;1306;ATM SAWANG
170;014 ;014 CAPEM LIRUNG;1401;CAPEM LIRUNG
171;014 ;014 CAPEM LIRUNG;1402;KK KABARUAN LIRUNG
172;014 ;014 CAPEM LIRUNG;1403;KCP LIRUNG II
173;015 ;015 CABANG TILAMUTA;1501;KANTOR CABANG TILAMUTA
174;015 ;015 CABANG TILAMUTA;1502;KANTOR BUPATI BOALEMO
175;015 ;015 CABANG TILAMUTA;1503;ATM KANTOR KAS WONOSARI
176;015 ;015 CABANG TILAMUTA;1504;ATM KANTOR CABANG TILAMUTA 2
177;015 ;015 CABANG TILAMUTA;1505;RSTN KAB. BUALEMO
178;015 ;015 CABANG TILAMUTA;1506;ATM MANANGGU
179;016 ;016 CABANG JAKARTA;1603;KANTOR CABANG JAKARTA
180;017 ;017 CABANG AIRMADIDI;0803;KANTOR CABANG AIRMADIDI
181;017 ;017 CABANG AIRMADIDI;1702;KANTOR BUPATI MINUT
182;017 ;017 CABANG AIRMADIDI;1703;ATM KANTOR CAMAT AIRMADIDI
183;017 ;017 CABANG AIRMADIDI;1704;ATM KK TATELU
184;017 ;017 CABANG AIRMADIDI;1705;ATM KANTOR KAS KAUDITAN AIRMADIDI
185;017 ;017 CABANG AIRMADIDI;1706;ATM SPBU JL.SOEKARNO AIRMADIDI
186;017 ;017 CABANG AIRMADIDI;1707;ATM RE RA FARMA AIRMADIDI
187;017 ;017 CABANG AIRMADIDI;1709;ATM GALERY CORNER AIRMADIDI
188;017 ;017 CABANG AIRMADIDI;1710;ALFAMART KEMA
189;017 ;017 CABANG AIRMADIDI;1711;ATM KALAWAT
190;017 ;017 CABANG AIRMADIDI;1712;ATM ALFAMART MATUNGKAS
191;017 ;017 CABANG AIRMADIDI;1713;ATM INDOMARET PASAR AIRMADIDI
192;017 ;017 CABANG AIRMADIDI;1714;ATM KC AIRMADIDI 2 
193;018 ;018 CABANG SUWAWA;1801;KANTOR BUPATI BONE BOLANGO
194;018 ;018 CABANG SUWAWA;1802;ATM RS TOTO
195;018 ;018 CABANG SUWAWA;1803;ATM KK BONE PANTAI SUWAWA
196;018 ;018 CABANG SUWAWA;1804;ATM TAPA
197;018 ;018 CABANG SUWAWA;1805;ATM KABILA
198;018 ;018 CABANG SUWAWA;1806;ATM GALERY CABANG SUWAWA 1
199;018 ;018 CABANG SUWAWA;1807;ATM GALERY CABANG SUWAWA 2
200;018 ;018 CABANG SUWAWA;1808;ATM DIKNAS SUWAWA
201;018 ;018 CABANG SUWAWA;1809;ATM BONE RAYA/RSUD TOMBULILATO
202;018 ;018 CABANG SUWAWA;1810;ATM INDOMARET BULANGO TAPA
203;018 ;018 CABANG SUWAWA;1811;ATM INDOMARET BOTUPINGGE
204;019 ;019 CABANG KWANDANG;1901;KANTOR KAS MOLUO KWANDANG
205;019 ;019 CABANG KWANDANG;1902;KANTOR BUPATI GORUT KWANDANG
206;019 ;019 CABANG KWANDANG;1903;ATM KANTOR CAB KWANDANG
207;019 ;019 CABANG KWANDANG;1904;ATM KANTOR CABANG KWANDANG 2
208;019 ;019 CABANG KWANDANG;1905;ATM KK TOLINGULA KWANDANG
209;019 ;019 CABANG KWANDANG;1906;ATM ATINGOLA
210;019 ;019 CABANG KWANDANG;1907;ATM SUMALATA KWANDANG
211;020 ;020 CABANG BOROKO;2001;KANTOR CAPEM BOROKO
212;020 ;020 CABANG BOROKO;2002;ATM KANTOR BUPATI BOROKO
213;020 ;020 CABANG BOROKO;2003;KK BINTAUNA
214;020 ;020 CABANG BOROKO;2004;ATM  BOLANGITAN BARAT
215;020 ;020 CABANG BOROKO;2005;ATM KK PINAGOLUMAN
216;020 ;020 CABANG BOROKO;2006;INDOMARET SANGKUB
217;020 ;020 CABANG BOROKO;2007;KANTOR CABANG BOROKO II
218;020 ;020 CABANG BOROKO;2008;ATM ALFAMART BOHABAK
219;021 ;021 CAPEM KELAPA GADING;2101;KANTOR CAPEM KELAPA GADING
220;022 ;022 CABANG RATAHAN;2201;KANTOR CAPEM RATAHAN
221;022 ;022 CABANG RATAHAN;2203;ATM KANTOR BUPATI MINAHASA TGR
222;022 ;022 CABANG RATAHAN;2204;ATM KANTOR KAS BELANG
223;022 ;022 CABANG RATAHAN;2205;ATM  KK TOMBATU
224;022 ;022 CABANG RATAHAN;2206;ATM KANTOR CABANG RATAHAN 2
225;022 ;022 CABANG RATAHAN;2207;ATM RATATOTOK
226;022 ;022 CABANG RATAHAN;2208;ATM TOLOMBUKAN LIWUTUNG
227;022 ;022 CABANG RATAHAN;2209;ATM INDOMARET TOLUAAN
228;023 ;023 CABANG SURABAYA;2301;KANTOR CABANG SURABAYA
229;024 ;024 CAPEM CEMPAKA PUTIH;2401;KANTOR CAPEM CEMPAKA PUTIH
230;025 ;025 CAPEM MANGGA DUA;2501;KANTOR CAPEM MANGGA DUA
231;026 ;026 CABANG MALANG;2601;KANTOR CABANG MALANG
232;027 ;027 CABANG TUTUYAN;2701;CAPEM TUTUYAN
233;027 ;027 CABANG TUTUYAN;2702;KANTOR BUPATI BOLTIM
234;027 ;027 CABANG TUTUYAN;2703;ATM KANTOR KAS MODAYAG
235;027 ;027 CABANG TUTUYAN;2704;KK KOTABUNAN
236;027 ;027 CABANG TUTUYAN;2705;ATM ALFAMART NUANGAN TUTUYAN
237;027 ;027 CABANG TUTUYAN;2706;ATM ALFAMART MATONGKAT
238;027 ;027 CABANG TUTUYAN;2707;ATM CABANG 2
239;028 ;028 CAPEM POPAYATO;2801;KANTOR CAPEM POPAYATO
240;028 ;028 CAPEM POPAYATO;2802;ATM KANTOR KAS LEMITO
241;029 ;029 CAPEM PASAR SENTRAL;2901;KCP PASAR SENTRAL GORONTALO
242;029 ;029 CAPEM PASAR SENTRAL;2902;ATM CAPEM PASAR CENTRAL 2
243;029 ;029 CAPEM PASAR SENTRAL;2903;ATM KANWIL
244;030 ;030 CABANG MOLIBAGU;3001;CAPEM MOLIBAGU
245;030 ;030 CABANG MOLIBAGU;3002;ATM KANTOR BUPATI MOLIBAGU
246;030 ;030 CABANG MOLIBAGU;3003;ATM POSIGADAN
247;030 ;030 CABANG MOLIBAGU;3004;ATM MOLIBAGU II
248;030 ;030 CABANG MOLIBAGU;3005;ATM PINOLOSIAN
249;031 ;031 CABANG LOLAK;3101;KCP LOLAK
250;031 ;031 CABANG LOLAK;3102;KANTOR BUPATI BOLANG MONGONDOW
251;031 ;031 CABANG LOLAK;3103;KANTOR KAS POIGAR
252;031 ;031 CABANG LOLAK;3104;ATM KANTOR KAS INOBONTO
253;031 ;031 CABANG LOLAK;3105;ATM ALFAMART AYONG
254;031 ;031 CABANG LOLAK;3106;ATM ALFAMART LOLAYAN
255;031 ;031 CABANG LOLAK;3107;ATM PASSI BARAT
256;032 ;032 CAPEM TAGULANDANG;3201;CAPEM TAGULANDANG
257;032 ;032 CAPEM TAGULANDANG;3202;KANTOR CAMAT TAGULANDANG
258;033 ;033 CAPEM TUMINTING;3309;CAPEM TUMINTING
259;034 ;034 CAPEM LIKUPANG;3401;BS CAPEM LIKUPANG
260;035 ;035 CAPEM PAAL DUA;3504;CAPEM PAAL DUA
261;036 ;036 CAPEM PAGUAT;3601;KANTOR CAPEM PAGUAT
262;037 ;037 CAPEM MOTOLING;3701;KANTOR CAPEM MOTOLING
263;037 ;037 CAPEM MOTOLING;3702;KANTOR KAS TOMPASO BARU
264;038 ;038 CABANG MELONGUANE;3801;KANTOR CABANG MELONGUANE
265;038 ;038 CABANG MELONGUANE;3802;KANTOR BUPATI TALAUD
266;038 ;038 CABANG MELONGUANE;3804;ATM GALERI CITRA MART
267;038 ;038 CABANG MELONGUANE;3805;ATM CABANG MELONG 2
268;038 ;038 CABANG MELONGUANE;3806;ATM RSUD MALA
269;038 ;038 CABANG MELONGUANE;3807;ATM NANUSA
270;039 ;039 CAPEM MANEMBO-NEMBO;3901;CAPEM MANEMBO-NEMBO
271;039 ;039 CAPEM MANEMBO-NEMBO;3902;ATM UPTD RS MANEMBO NEMBO
272;040 ;040 CAPEM RANDANGAN;4001;ATM CABANG RANDANGAN
273;040 ;040 CAPEM RANDANGAN;4002;ATM INDOMARET TALUDITI
274;041 ;041 CAPEM TOLANGOHULA;4101;ATM CAPEM TOLANGOHULA
275;041 ;041 CAPEM TOLANGOHULA;4102;ATM SPBU MOLOHU
276;042 ;042 CAPEM BAHU;4204;ATM LK TERMINAL MALALAYANG
277;042 ;042 CAPEM BAHU;4205;BAHU MALL
278;043 ;043 CAPEM RANOTANA;4312;CAPEM RANOTANA
279;044 ;044 CAPEM TAMAKO;4401;ATM CAPEM TAMAKO
280;045 ;045 CAPEM PAGUYAMAN;4501;DESA MODELOMO
281;045 ;045 CAPEM PAGUYAMAN;4503;ATM TANGKOBU
282;046 ;046 CAPEM LANGOWAN;4601;CAPEM LANGOWAN
283;046 ;046 CAPEM LANGOWAN;4602;ATM RSUD NOONGAN LANGOWAN
284;046 ;046 CAPEM LANGOWAN;4603;INDOMARET KAKAS
285;046 ;046 CAPEM LANGOWAN;4604;ATM LONGOWAN II
286;047 ;047 CAPEM SAMRAT;4701;SAM RATULANGI
287;048 ;048 CAPEM BEO;4801;CAPEM BEO
288;048 ;048 CAPEM BEO;4802;ATM GEMEH
289;048 ;048 CAPEM BEO;4803;ATM KCP BEO II
290;049 ;049 CAPEM TELAGA;4901;CAPEM TELAGA
291;049 ;049 CAPEM TELAGA;4902;ATM CAPEM TELAGA 2
292;050 ;050 CAPEM MOPUYA;5001;CAPEM MOPUYA
293;050 ;050 CAPEM MOPUYA;5002;ATM ALFAMART DUMOGA
294;050 ;050 CAPEM MOPUYA;5003;ATM INDOMARET DOLODUO
295;051 ;051 CAPEM MODOINDING;5101;CAPEM MODOINDING
